date,phrase,value
2017-01-01,"no evidence",0.385448
2017-02-01,"no evidence",0.3793
2017-03-01,"no evidence",0.565042
2017-04-01,"no evidence",0.376333
2017-05-01,"no evidence",0.42171
2017-06-01,"no evidence",0.464957
2017-07-01,"no evidence",0.366352
2017-08-01,"no evidence",0.346413
2017-09-01,"no evidence",0.37375
2017-10-01,"no evidence",0.383839
2017-11-01,"no evidence",0.3757
2017-12-01,"no evidence",0.34161
2018-01-01,"no evidence",0.342061
2018-02-01,"no evidence",0.359611
2018-03-01,"no evidence",0.461294
2018-04-01,"no evidence",0.472253
2018-05-01,"no evidence",0.387013
2018-06-01,"no evidence",0.362687
2018-07-01,"no evidence",0.402745
2018-08-01,"no evidence",0.424374
2018-09-01,"no evidence",0.436997
2018-10-01,"no evidence",0.520184
2018-11-01,"no evidence",0.41918
2018-12-01,"no evidence",0.426426
2019-01-01,"no evidence",0.344761
2019-02-01,"no evidence",0.40445
2019-03-01,"no evidence",0.456132
2019-04-01,"no evidence",0.426503
2019-05-01,"no evidence",0.369503
2019-06-01,"no evidence",0.366047
2019-07-01,"no evidence",0.372777
2019-08-01,"no evidence",0.390261
2019-09-01,"no evidence",0.53911
2019-10-01,"no evidence",0.504758
2019-11-01,"no evidence",0.41783
2019-12-01,"no evidence",0.424739
2020-01-01,"no evidence",0.501897
2020-02-01,"no evidence",0.44331
2020-03-01,"no evidence",0.479216
2020-04-01,"no evidence",0.542237
2020-05-01,"no evidence",0.494442
2020-06-01,"no evidence",0.472333
2020-07-01,"no evidence",0.457523
2020-08-01,"no evidence",0.481116
2020-09-01,"no evidence",0.448813
2020-10-01,"no evidence",0.420203
2020-11-01,"no evidence",0.75266
2020-12-01,"no evidence",0.756768
2021-01-01,"no evidence",0.639084
2021-02-01,"no evidence",0.556164
2021-03-01,"no evidence",0.583926
2021-04-01,"no evidence",0.484187
2021-05-01,"no evidence",0.490139
2021-06-01,"no evidence",0.449217
2021-07-01,"no evidence",0.420558
2021-08-01,"no evidence",0.382274
2021-09-01,"no evidence",0.394273
2021-10-01,"no evidence",0.383561
2021-11-01,"no evidence",0.424247
2021-12-01,"no evidence",0.382603
2022-01-01,"no evidence",0.407729
2022-02-01,"no evidence",0.433579
2022-03-01,"no evidence",0.355494
2022-04-01,"no evidence",0.347617
2022-05-01,"no evidence",0.360771
2022-06-01,"no evidence",0.3517
2022-07-01,"no evidence",0.354661
2022-08-01,"no evidence",0.364984
2022-09-01,"no evidence",0.31851
2022-10-01,"no evidence",0.405116
2022-11-01,"no evidence",0.40086
2022-12-01,"no evidence",0.397248
2023-01-01,"no evidence",0.405097
2023-02-01,"no evidence",0.474636
2023-03-01,"no evidence",0.451893
2023-04-01,"no evidence",0.32949
2023-05-01,"no evidence",0.311823
2023-06-01,"no evidence",0.375277
2023-07-01,"no evidence",0.307806
2023-08-01,"no evidence",0.30361
2023-09-01,"no evidence",0.329257
2023-10-01,"no evidence",0.301713
2023-11-01,"no evidence",0.271257
2023-12-01,"no evidence",0.323626
2024-01-01,"no evidence",0.342894
2024-02-01,"no evidence",0.335679
2024-03-01,"no evidence",0.310697
2024-04-01,"no evidence",0.303217
2024-05-01,"no evidence",0.275548
2024-06-01,"no evidence",0.303733
2024-07-01,"no evidence",0.298252
2024-08-01,"no evidence",0.335019
2024-09-01,"no evidence",0.35282
2024-10-01,"no evidence",0.304261
2024-11-01,"no evidence",0.315293
2024-12-01,"no evidence",0.341523
2025-01-01,"no evidence",0.3123
2025-02-01,"no evidence",0.310518
2025-03-01,"no evidence",0.315052
2025-04-01,"no evidence",0.3368
2025-05-01,"no evidence",0.276655
2025-06-01,"no evidence",0.340921
2025-07-01,"no evidence",0.3945
2025-08-01,"no evidence",0.320481
2025-09-01,"no evidence",0.371927
2025-10-01,"no evidence",0.327648
2025-11-01,"no evidence",0.301327
2025-12-01,"no evidence",0.308881
2026-01-01,"no evidence",0.321665
2026-02-01,"no evidence",0.392621
2026-03-01,"no evidence",0.335706
2026-04-01,"no evidence",0.28972
2026-05-01,"no evidence",0.306277
2026-06-01,"no evidence",0.33837
2026-07-01,"no evidence",0.368833
