date,phrase,value
2017-01-01,"nuclear disarmament",0.0273258
2017-02-01,"nuclear disarmament",0.0270179
2017-03-01,"nuclear disarmament",0.0259323
2017-04-01,"nuclear disarmament",0.02539
2017-05-01,"nuclear disarmament",0.0247742
2017-06-01,"nuclear disarmament",0.02249
2017-07-01,"nuclear disarmament",0.024371
2017-08-01,"nuclear disarmament",0.0246742
2017-09-01,"nuclear disarmament",0.0357933
2017-10-01,"nuclear disarmament",0.0394484
2017-11-01,"nuclear disarmament",0.0275133
2017-12-01,"nuclear disarmament",0.0285621
2018-01-01,"nuclear disarmament",0.0352516
2018-02-01,"nuclear disarmament",0.0334321
2018-03-01,"nuclear disarmament",0.0627774
2018-04-01,"nuclear disarmament",0.0789667
2018-05-01,"nuclear disarmament",0.0822774
2018-06-01,"nuclear disarmament",0.11629
2018-07-01,"nuclear disarmament",0.0698935
2018-08-01,"nuclear disarmament",0.0474581
2018-09-01,"nuclear disarmament",0.0451333
2018-10-01,"nuclear disarmament",0.037629
2018-11-01,"nuclear disarmament",0.0280833
2018-12-01,"nuclear disarmament",0.0252871
2019-01-01,"nuclear disarmament",0.0319484
2019-02-01,"nuclear disarmament",0.0694607
2019-03-01,"nuclear disarmament",0.0361387
2019-04-01,"nuclear disarmament",0.0457133
2019-05-01,"nuclear disarmament",0.0412613
2019-06-01,"nuclear disarmament",0.0384967
2019-07-01,"nuclear disarmament",0.014171
2019-08-01,"nuclear disarmament",0.0262226
2019-09-01,"nuclear disarmament",0.02601
2019-10-01,"nuclear disarmament",0.0224677
2019-11-01,"nuclear disarmament",0.0268667
2019-12-01,"nuclear disarmament",0.0277645
2020-01-01,"nuclear disarmament",0.0201065
2020-02-01,"nuclear disarmament",0.00879655
2020-03-01,"nuclear disarmament",0.00497097
2020-04-01,"nuclear disarmament",0.00519333
2020-05-01,"nuclear disarmament",0.00780968
2020-06-01,"nuclear disarmament",0.0157467
2020-07-01,"nuclear disarmament",0.00926774
2020-08-01,"nuclear disarmament",0.0245452
2020-09-01,"nuclear disarmament",0.00758333
2020-10-01,"nuclear disarmament",0.0152
2020-11-01,"nuclear disarmament",0.00835
2020-12-01,"nuclear disarmament",0.00419355
2021-01-01,"nuclear disarmament",0.0217645
2021-02-01,"nuclear disarmament",0.00940357
2021-03-01,"nuclear disarmament",0.0109161
2021-04-01,"nuclear disarmament",0.00709667
2021-05-01,"nuclear disarmament",0.0102968
2021-06-01,"nuclear disarmament",0.01257
2021-07-01,"nuclear disarmament",0.00588065
2021-08-01,"nuclear disarmament",0.0115097
2021-09-01,"nuclear disarmament",0.0143533
2021-10-01,"nuclear disarmament",0.0094871
2021-11-01,"nuclear disarmament",0.00595333
2021-12-01,"nuclear disarmament",0.00802581
2022-01-01,"nuclear disarmament",0.0292774
2022-02-01,"nuclear disarmament",0.00909643
2022-03-01,"nuclear disarmament",0.0145516
2022-04-01,"nuclear disarmament",0.00855667
2022-05-01,"nuclear disarmament",0.0127645
2022-06-01,"nuclear disarmament",0.0150067
2022-07-01,"nuclear disarmament",0.00574839
2022-08-01,"nuclear disarmament",0.0521839
2022-09-01,"nuclear disarmament",0.0206267
2022-10-01,"nuclear disarmament",0.0112806
2022-11-01,"nuclear disarmament",0.01321
2022-12-01,"nuclear disarmament",0.00900645
2023-01-01,"nuclear disarmament",0.0118839
2023-02-01,"nuclear disarmament",0.0192821
2023-03-01,"nuclear disarmament",0.01223
2023-04-01,"nuclear disarmament",0.0162433
2023-05-01,"nuclear disarmament",0.0405903
2023-06-01,"nuclear disarmament",0.00723333
2023-07-01,"nuclear disarmament",0.00741935
2023-08-01,"nuclear disarmament",0.0194355
2023-09-01,"nuclear disarmament",0.0115967
2023-10-01,"nuclear disarmament",0.00491613
2023-11-01,"nuclear disarmament",0.00908333
2023-12-01,"nuclear disarmament",0.00370323
2024-01-01,"nuclear disarmament",0.00540645
2024-02-01,"nuclear disarmament",0.00987241
2024-03-01,"nuclear disarmament",0.00954516
2024-04-01,"nuclear disarmament",0.00812
2024-05-01,"nuclear disarmament",0.00327097
2024-06-01,"nuclear disarmament",0.00869
2024-07-01,"nuclear disarmament",0.0117903
2024-08-01,"nuclear disarmament",0.00741613
2024-09-01,"nuclear disarmament",0.00753333
2024-10-01,"nuclear disarmament",0.0118387
2024-11-01,"nuclear disarmament",0.00504667
2024-12-01,"nuclear disarmament",0.00683871
2025-01-01,"nuclear disarmament",0.00805161
2025-02-01,"nuclear disarmament",0.0119
2025-03-01,"nuclear disarmament",0.0115419
2025-04-01,"nuclear disarmament",0.00820333
2025-05-01,"nuclear disarmament",0.00406774
2025-06-01,"nuclear disarmament",0.00785
2025-07-01,"nuclear disarmament",0.00512667
2025-08-01,"nuclear disarmament",0.0198645
2025-09-01,"nuclear disarmament",0.0138367
2025-10-01,"nuclear disarmament",0.0111742
2025-11-01,"nuclear disarmament",0.00920667
2025-12-01,"nuclear disarmament",0.011771
2026-01-01,"nuclear disarmament",0.00483226
2026-02-01,"nuclear disarmament",0.0208821
2026-03-01,"nuclear disarmament",0.0156516
2026-04-01,"nuclear disarmament",0.01382
2026-05-01,"nuclear disarmament",0.0135742
2026-06-01,"nuclear disarmament",0.01275
2026-07-01,"nuclear disarmament",0.010181
