date,phrase,value
2017-01-01,"quiet quitting",0
2017-02-01,"quiet quitting",0
2017-03-01,"quiet quitting",3.22581e-06
2017-04-01,"quiet quitting",0
2017-05-01,"quiet quitting",0
2017-06-01,"quiet quitting",0
2017-07-01,"quiet quitting",0
2017-08-01,"quiet quitting",3.22581e-06
2017-09-01,"quiet quitting",0
2017-10-01,"quiet quitting",0
2017-11-01,"quiet quitting",0
2017-12-01,"quiet quitting",0
2018-01-01,"quiet quitting",0
2018-02-01,"quiet quitting",0
2018-03-01,"quiet quitting",0
2018-04-01,"quiet quitting",0
2018-05-01,"quiet quitting",0
2018-06-01,"quiet quitting",0
2018-07-01,"quiet quitting",0
2018-08-01,"quiet quitting",0
2018-09-01,"quiet quitting",0
2018-10-01,"quiet quitting",0
2018-11-01,"quiet quitting",0
2018-12-01,"quiet quitting",0
2019-01-01,"quiet quitting",0
2019-02-01,"quiet quitting",0
2019-03-01,"quiet quitting",0
2019-04-01,"quiet quitting",0
2019-05-01,"quiet quitting",6.45161e-06
2019-06-01,"quiet quitting",1e-05
2019-07-01,"quiet quitting",0
2019-08-01,"quiet quitting",0
2019-09-01,"quiet quitting",0
2019-10-01,"quiet quitting",0
2019-11-01,"quiet quitting",0
2019-12-01,"quiet quitting",0
2020-01-01,"quiet quitting",0
2020-02-01,"quiet quitting",0
2020-03-01,"quiet quitting",0
2020-04-01,"quiet quitting",0
2020-05-01,"quiet quitting",0
2020-06-01,"quiet quitting",0
2020-07-01,"quiet quitting",6.45161e-06
2020-08-01,"quiet quitting",0
2020-09-01,"quiet quitting",0
2020-10-01,"quiet quitting",1e-05
2020-11-01,"quiet quitting",0
2020-12-01,"quiet quitting",0
2021-01-01,"quiet quitting",0
2021-02-01,"quiet quitting",1.78571e-05
2021-03-01,"quiet quitting",0
2021-04-01,"quiet quitting",0
2021-05-01,"quiet quitting",0
2021-06-01,"quiet quitting",0
2021-07-01,"quiet quitting",0
2021-08-01,"quiet quitting",0
2021-09-01,"quiet quitting",0
2021-10-01,"quiet quitting",0
2021-11-01,"quiet quitting",0
2021-12-01,"quiet quitting",1.6129e-05
2022-01-01,"quiet quitting",0
2022-02-01,"quiet quitting",0
2022-03-01,"quiet quitting",0
2022-04-01,"quiet quitting",0
2022-05-01,"quiet quitting",0
2022-06-01,"quiet quitting",0
2022-07-01,"quiet quitting",1.93548e-05
2022-08-01,"quiet quitting",0.00887097
2022-09-01,"quiet quitting",0.01769
2022-10-01,"quiet quitting",0.0117903
2022-11-01,"quiet quitting",0.00918
2022-12-01,"quiet quitting",0.00861613
2023-01-01,"quiet quitting",0.00829032
2023-02-01,"quiet quitting",0.00611786
2023-03-01,"quiet quitting",0.00325333
2023-04-01,"quiet quitting",0.00361667
2023-05-01,"quiet quitting",0.00277419
2023-06-01,"quiet quitting",0.00356667
2023-07-01,"quiet quitting",0.00310645
2023-08-01,"quiet quitting",0.00245484
2023-09-01,"quiet quitting",0.00210667
2023-10-01,"quiet quitting",0.00204194
2023-11-01,"quiet quitting",0.00190667
2023-12-01,"quiet quitting",0.0020129
2024-01-01,"quiet quitting",0.00142581
2024-02-01,"quiet quitting",0.0016931
2024-03-01,"quiet quitting",0.00164194
2024-04-01,"quiet quitting",0.00126667
2024-05-01,"quiet quitting",0.00146452
2024-06-01,"quiet quitting",0.00175333
2024-07-01,"quiet quitting",0.00232581
2024-08-01,"quiet quitting",0.000812903
2024-09-01,"quiet quitting",0.00157333
2024-10-01,"quiet quitting",0.000564516
2024-11-01,"quiet quitting",0.000806667
2024-12-01,"quiet quitting",0.00115161
2025-01-01,"quiet quitting",0.00115484
2025-02-01,"quiet quitting",0.00113929
2025-03-01,"quiet quitting",0.000870968
2025-04-01,"quiet quitting",0.000886667
2025-05-01,"quiet quitting",0.00134839
2025-06-01,"quiet quitting",0.000521429
2025-07-01,"quiet quitting",0.000643333
2025-08-01,"quiet quitting",0.00127097
2025-09-01,"quiet quitting",0.00124667
2025-10-01,"quiet quitting",0.00104839
2025-11-01,"quiet quitting",0.00107
2025-12-01,"quiet quitting",0.00123871
2026-01-01,"quiet quitting",0.00131613
2026-02-01,"quiet quitting",0.000928571
2026-03-01,"quiet quitting",0.000835484
2026-04-01,"quiet quitting",0.00176333
2026-05-01,"quiet quitting",0.000609677
2026-06-01,"quiet quitting",0.000393333
2026-07-01,"quiet quitting",0.000766667
